solver_id,phase,n,alpha,alpha_r,alpha_ci_lo,alpha_ci_hi,beta
2009PROV01,full,3760,0.5715211052371427,0.9970424938277902,0.5432077163169746,0.6281816789174718,0.014738492755894225
2009PROV01,early,1880,0.5563931883324745,0.9962420908163189,0.5041597012895077,0.6203545179182932,0.024512772262572518
2009PROV01,late,1880,0.5578951120153147,0.9955277871209374,0.47704905893523997,0.6649991011168546,0.02629159058040693
2009ROTA01,full,2083,0.46695076399684454,0.9878216311439232,0.43952701253541493,0.6431231548314951,-0.005391046228737871
2009ROTA01,early,1041,0.4939213507343321,0.9835474774512054,0.4557007235529695,0.5953926679259121,-0.0021511785816393496
2009ROTA01,late,1042,0.5404733577404882,0.9971515422024375,0.4596985867871015,0.6325655248315564,-0.05166028212925505
2009ZHEN11,full,2197,0.592776289411817,0.9958878618391108,0.5447195859154538,0.6718403162626149,-0.0338436068896174
2009ZHEN11,early,1098,0.6335199974368668,0.9914791860240522,0.5320511036534827,0.6996962393413783,0.0034504488274377607
2009ZHEN11,late,1099,0.5577658522481725,0.9934632543878007,0.490514963833322,0.6667767702418839,0.03743265833446872
2010AMBR01,full,2404,0.5426071848613498,0.9980288564508002,0.4797339445354543,0.6189403125255801,-0.005844504919741658
2010AMBR01,early,1202,0.47010642827635374,0.9887642785770319,0.41423908988866215,0.554397228375567,-0.05679264416089362
2010AMBR01,late,1202,0.5587186126453226,0.9974629692192625,0.5109309902409658,0.6891980766358752,0.016773728783624275
2010BENT01,full,2466,0.6520646539163231,0.993098413195494,0.5171981201647216,0.7002151849383966,0.05934311056677389
2010BENT01,early,1233,0.646969245558709,0.9887399016358578,0.5085618928196626,0.7069029373815128,0.07037727782362022
2010BENT01,late,1233,0.5487655822451193,0.9888431761877263,0.4820451820783033,0.6429033376556728,0.009169237910775015
2010GRAC02,full,2686,0.6655682084920959,0.9956636782600288,0.5907870653214898,0.7455989509535441,0.21231654368339106
2010GRAC02,early,1343,0.6577601845938267,0.99339997490578,0.5821962277391914,0.7668030935413443,0.45340453771160844
2010GRAC02,late,1343,0.5873130937803417,0.9944283915618076,0.5155719680888309,0.7004733955894202,-0.008278122013015202
2010HULL01,full,3424,0.5185473397682395,0.9949270864296103,0.4706132490090444,0.5810545315056417,0.0033261199723085702
